Site,SO1,SO2,SO3,SO4,R,C,Buff,Zeb,Sbl,Kud,Imp,Hum,AllPrey,Bound,Post,Riv
116_10,0,0,0,0,-1.05,-0.86,1.42,0.11,0.3,0.1,0.15,-1.14,1.13,1.63,0.77,-0.69
122_01,0,0,0,0,0.39,0.17,-2.01,-1.67,-0.92,1.37,0.62,1.38,-0.9,-1.07,0.57,-0.38
122_02,0,0,0,0,1.49,-0.23,-1.93,-1.8,-0.99,1.37,0.8,1.29,-0.9,-1.02,0.48,-0.31
122_03,0,0,1,1,2.44,0.95,-2.26,-2.06,-0.49,1.28,-0.04,1.02,-1.67,-0.96,0.39,-0.27
122_04,0,0,0,0,2.1,0.32,-1.93,-1.67,-0.7,1.37,0.34,0.93,-1.16,-0.92,0.31,-0.36
122_05,0,0,0,NA,1.54,-0.08,-1.93,-1.55,-0.99,1.37,0.76,1.02,-0.9,-0.96,0.25,-0.46
122_06,0,0,0,0,2.13,1.21,-2.09,-0.66,-0.92,0.37,-0.04,0.93,-1.67,-0.96,0.36,-0.23
130_01,0,1,1,1,1.53,0.28,-0.13,-0.15,0.87,0.1,-1.02,0.57,-0.39,0.16,2.47,0.37
130_02,0,0,0,0,0.41,0.14,0.36,0.11,0.51,0.19,-0.55,0.75,0.12,0.13,2.37,0.39
130_03,0,0,0,0,-0.05,-1.12,0.52,0.23,0.15,0.1,0.1,0.84,0.63,0.07,2.3,0.43
130_04,0,0,NA,NA,0.02,-0.68,0.03,-0.02,0.08,0.1,0.06,0.84,0.12,0.04,2.23,0.47
131_01,0,0,0,0,-1.12,-0.16,1.09,0.11,0.44,-0.09,-0.22,-0.33,0.63,0.85,1.76,-0.24
131_02,0,0,0,0,-1.11,-0.23,1.17,0.11,0.37,-0.45,-0.13,-0.15,0.63,0.77,1.88,-0.15
131_03,0,0,0,0,-1.11,-0.45,1.17,0.11,0.3,-0.9,0.01,0.03,0.37,0.68,1.98,-0.07
131_04,0,0,0,0,-1.11,0.14,1.33,0.36,0.37,-0.54,-0.04,0.12,0.88,0.6,2.08,0.01
131_05,1,1,1,0,-1.12,-0.23,1.17,0.23,0.23,-0.45,0.15,0.3,0.88,0.52,2.2,0.1
131_06,0,0,0,0,-0.61,-1.34,1.91,0.87,0.3,0.55,0.15,0.39,1.9,0.44,2.34,0.16
